FOOD_ID,USER_ID,TYPE_OF_FOOD,ESTIMATED_CALORIE,FOOD_ENTRY_TIMESTAMP
1,5,5,453,4:01 AM
5,50,3,476,3:01 AM
1,45,4,82,11:33 AM
4,29,5,106,11:44 PM
2,18,4,307,9:42 PM
3,28,1,381,12:35 PM
2,22,4,474,10:01 PM
3,29,1,308,10:17 PM
4,29,1,47,4:24 AM
3,24,4,213,12:27 PM
4,31,4,495,1:15 PM
1,28,5,128,12:09 AM
1,27,2,104,9:52 AM
4,9,3,361,4:14 PM
4,32,1,451,2:27 AM
1,46,5,269,5:47 AM
5,2,1,194,6:52 AM
3,16,3,244,6:40 AM
2,31,2,253,2:20 PM
3,34,3,408,9:34 AM
2,50,4,236,5:15 AM
2,31,2,441,11:57 PM
2,17,2,260,10:56 AM
5,30,2,444,5:25 AM
1,31,3,208,4:10 PM
